"salary_min","id","__CLASS__","description","created","salary_max","redirect_url","title","salary_is_predicted","adref","contract_time","longitude","latitude","query","category_label","location_display_name","company_display_name","contract_type"
24879.17,"4939409850","Adzuna::API::Response::Job","ONCOLOGY DATA ANALYST Baltimore, MD SINAI CANCER INSTITUTE Full-time - Day shift - 8:00am-4:30pm Professional 82726 $31.94-$47.91 Experience based Posted: October 23, 2024 Apply Now Save Job Saved Summary JOB SUMMARY: Under general supervision, plans, coordinates, and provides support in conducting all aspects of data collection and reporting for the LifeBridge Health Oncology Program. Essential functions include Clinical Data Management, Report Management and Teamwork. ESSENTIAL FUNCTIONS: Cli…","2024-11-14T17:40:00Z",24879.17,"https://www.adzuna.com/land/ad/4939409850?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=D2834E88BCC82158025F9247059B5DC69C9C5FD6","ONCOLOGY DATA ANALYST","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDkzOTQwOTg1MCIsInMiOiI5cHN5WXMydzd4R3JERXBqNEtjc1JnIn0.JFi4Btgsnxz-hL7ISXA3bKtseQVmBA7B76nyMhLIVaM","full_time",-76.60944,39.29688,"data analyst","Healthcare & Nursing Jobs","East Case, Baltimore","LifeBridge Health",NA
108049.37,"4958151516","Adzuna::API::Response::Job","Description Leidos is currently seeking experienced and highly qualified Chinese Translators/Linguists to support the company –National Security Programs. The linguist will perform a full range of activities in processing materials or participating in situations requiring a general professional capability. We will sponsor candidates for clearances. Required language: Chinese ,Russian Translation: Can accurately translate reports/texts in electronic and hard-copy formats that not only contain fa…","2024-12-01T12:50:49Z",108049.37,"https://www.adzuna.com/land/ad/4958151516?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=650718BBB5CFAA06BB19B245BB9AFF7D6A96D255","Language Data Analysts","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDk1ODE1MTUxNiIsInMiOiI5cHN5WXMydzd4R3JERXBqNEtjc1JnIn0.BE7a3YElv2srss9dYtlE2iAGkRliv5muQkHFZNO55g4","full_time",-77.26776,38.93568,"data analyst","IT Jobs","Wolf Trap, Halifax County","Leidos",NA
109494.97,"4958151515","Adzuna::API::Response::Job","Description Leidos is currently seeking experienced and highly qualified Pashto/Da Translators/Linguists to support the company –National Security Programs. The linguist will perform a full range of activities in processing materials or participating in situations requiring a general professional capability. We will sponsor candidates for clearances. Required language: Pashto,Dari Translation: Can accurately translate reports/texts in electronic and hard-copy formats that not only contain facts…","2024-12-01T12:50:49Z",109494.97,"https://www.adzuna.com/land/ad/4958151515?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=82C7F6677DF6C931313CB338F4ADC7350317BCBC","Pashto/Dari Language Data Analysts","1","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXBzeVlzMnc3eEdyREVwajRLY3NSZyIsImkiOiI0OTU4MTUxNTE1In0.lgAh7g4W8XC3FjgK0zPeaBHvpwnr-vtVRT6JgGi681g","full_time",-77.26776,38.93568,"data analyst","IT Jobs","Wolf Trap, Halifax County","Leidos",NA
64252.31,"4916955770","Adzuna::API::Response::Job","Job Description Under the direction of the Executive Vice President for Real Estate Development, the Data Analyst will play an important role in executing NYCHA's ongoing efforts to recapitalize and rehabilitate its stock of public housing apartments. The Data Analyst's quantitative work will be used to inform strategy and enable execution of key initiatives. The Data Analyst will make the department's data more organized, accessible, and understandable, and will deliver the data in a useful an…","2024-10-28T16:37:17Z",64252.31,"https://www.adzuna.com/land/ad/4916955770?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=6E69397B2C7DB5FC8970FABDE2B03E22A1B7CF01","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXBzeVlzMnc3eEdyREVwajRLY3NSZyIsImkiOiI0OTE2OTU1NzcwIn0.4LwZuIqVZh7HZAKl4TjXjZJGfnueG8IP7eb4GsjS_yA",NA,-73.978504,40.755381,"data analyst","Other/General Jobs","Grand Central, Manhattan","City of New York",NA
73924.34,"4920171743","Adzuna::API::Response::Job","Description Data Analyst $100K - $115K  benefits Hybrid onsite 3x per week in Woodland Hills, CA We are seeking a Data Analyst based in Woodland Hills, California. This role involves sourcing, preparing, and packaging data to answer key business questions, working across data tables / databases to ensure accuracy and consistency. As a Data Analyst, you will work closely with internal stakeholders to understand data requirements, analyze trends, build reports, and create compelling data visualiz…","2024-10-31T16:03:01Z",73924.34,"https://www.adzuna.com/land/ad/4920171743?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=332F24C894FBEA483A49B1E2D252D12E495184D5","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDkyMDE3MTc0MyIsInMiOiI5cHN5WXMydzd4R3JERXBqNEtjc1JnIn0.DkaWfNg1no8R4iQuilzocDDaS_LymHFnIVeR8fT-NXE",NA,-118.60758,34.1697,"data analyst","IT Jobs","Woodland Hills, Los Angeles County","Robert Half",NA
52910.35,"4944745553","Adzuna::API::Response::Job","Description We are offering a long term contract employment opportunity for a Data Analyst in New York. This role is situated within an industry that requires meticulous management of data, reporting, and analysis. As a Data Analyst, you will handle data management tasks, contribute to reporting needs, and support the development of data systems procedures. Your workplace will be in a dynamic, fast-paced environment where data-driven decision making is highly valued. Responsibilities: - Conduct…","2024-11-19T15:42:53Z",52910.35,"https://www.adzuna.com/land/ad/4944745553?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=32447A05CEDCF22A7EF6E2BB981E61D99EA0252F","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXBzeVlzMnc3eEdyREVwajRLY3NSZyIsImkiOiI0OTQ0NzQ1NTUzIn0.KujpTc1pvYWnkpiX4Ea7odadps6cpQhuzNANxFdHKJk",NA,-73.978504,40.755381,"data analyst","IT Jobs","Grand Central, Manhattan","Robert Half",NA
111826.77,"4566396607","Adzuna::API::Response::Job","Job Description The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throug…","2024-02-12T15:04:50Z",111826.77,"https://www.adzuna.com/land/ad/4566396607?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=AE2B37E83E5B09F0B417986F1751B83E4578BFE7","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDU2NjM5NjYwNyIsInMiOiI5cHN5WXMydzd4R3JERXBqNEtjc1JnIn0.yvfSOxlk3Nzgsg0ppec3sOliXLGk-diGuCkcQS8GNH0",NA,-73.978504,40.755381,"data analyst","Scientific & QA Jobs","Grand Central, Manhattan","City of New York",NA
63474.86,"4876544885","Adzuna::API::Response::Job","Job Description A large healthcare system is hiring for a Data Analyst to join their team. Each day, this individual will receive a project list of items that will need to complete and work alongside other team members in order to complete the tasks. This individual will need to have a strong ability to intake, organize and subsequently deliver actionable tasks. On a day to day this individual will work with large data sets from multiple systems and ensure data accuracy. The ideal candidate wil…","2024-09-25T15:41:39Z",63474.86,"https://www.adzuna.com/land/ad/4876544885?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=2A4404B79979EDF9690A8174E8475859DA2779A1","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDg3NjU0NDg4NSIsInMiOiI5cHN5WXMydzd4R3JERXBqNEtjc1JnIn0.CSbOpLlW69Iu8uRQXLhkoVeeCOO8DvHbWXHqhr_ljyY",NA,-117.2501,32.85596,"data analyst","IT Jobs","La Jolla, San Diego County","Insight Global",NA
122510.95,"4945825061","Adzuna::API::Response::Job","Sinclair, Inc. is seeking a Data Analyst to extract data, create reports, and provide sound business recommendations to company leaders regarding multiple business lines, with an emphasis on programmatic advertising. The Analyst also will assess intersecting information and data related to user journeys and customer acquisition, first-party data, email marketing, and consumer engagement. The Data Analyst will help build data reports and audience segmentations across the company's diverse multip…","2024-11-20T15:50:05Z",122510.95,"https://www.adzuna.com/land/ad/4945825061?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=C8B8008B1FEC41B060FC9761C189F7411F109B66","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDk0NTgyNTA2MSIsInMiOiI5cHN5WXMydzd4R3JERXBqNEtjc1JnIn0.JfBbCWHxSIz4Az_SQwDjGVFo0ocxl8StmHUPLKmTg70",NA,-122.326064,47.602485,"data analyst","PR, Advertising & Marketing Jobs","International, King County","Sinclair Broadcast Group",NA
106983.41,"4892782152","Adzuna::API::Response::Job","About The Role The Disney Streaming Analytics' Content & Engagement Core Data team is seeking a Data Analyst who will help build and scale our data that will empower us to measure and understand engagement behavior cross-service between Disney, Hulu, ESPN, and more We partner with other teams across the business to turn data into information, information into insights and insights into key business decisions that steer the strategic direction of the company. The right person for this role thriv…","2024-10-07T16:31:09Z",106983.41,"https://www.adzuna.com/land/ad/4892782152?se=9psyYs2w7xGrDEpj4KcsRg&utm_medium=api&utm_source=13260c83&v=9363A6F64CFC64558AF3EF5CA0BE4B20607B4A78","Data Analyst","1","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXBzeVlzMnc3eEdyREVwajRLY3NSZyIsImkiOiI0ODkyNzgyMTUyIn0.DTZObxV7tCzT5IdlY7-1oFYgzvSohUxOGpzHLEoVZho",NA,-73.978504,40.755381,"data analyst","IT Jobs","Grand Central, Manhattan","The Walt Disney Company",NA
